period,decile,portfolio,annualized_mean_return
development,1,p01,0.035119047619047626
development,2,p02,0.08375396825396826
development,3,p03,0.0862174603174603
development,4,p04,0.10042380952380951
development,5,p05,0.11111428571428573
development,6,p06,0.11543809523809526
development,7,p07,0.1272285714285714
development,8,p08,0.14036349206349208
development,9,p09,0.15822380952380952
development,10,p10,0.19099365079365077
validation,1,p01,0.04262800000000001
validation,2,p02,0.09062800000000001
validation,3,p03,0.09811599999999998
validation,4,p04,0.108848
validation,5,p05,0.104856
validation,6,p06,0.10694000000000001
validation,7,p07,0.113092
validation,8,p08,0.130764
validation,9,p09,0.11054400000000002
validation,10,p10,0.15865200000000002
holdout,1,p01,0.10793868613138688
holdout,2,p02,0.10640583941605843
holdout,3,p03,0.14263357664233584
holdout,4,p04,0.16331386861313868
holdout,5,p05,0.1358014598540146
holdout,6,p06,0.15333722627737226
holdout,7,p07,0.12627153284671533
holdout,8,p08,0.11516496350364966
holdout,9,p09,0.11351824817518247
holdout,10,p10,0.19515328467153287
